Gene stable ID,Gene name
ENSRNOG00000011875,Slc2a2
ENSRNOG00000004595,Pou6f1
ENSRNOG00000055888,AC109023.1
ENSRNOG00000061274,U6
ENSRNOG00000015321,Moxd1
ENSRNOG00000053089,AABR07005004.1
ENSRNOG00000001222,Ube2g2
ENSRNOG00000031425,LOC500846
ENSRNOG00000025624,Arhgap20
ENSRNOG00000057971,U5
ENSRNOG00000008841,Orc1
ENSRNOG00000015059,Mcfd2
ENSRNOG00000000871,Cd40lg
ENSRNOG00000003786,Tspan6
ENSRNOG00000053350,AABR07048785.1
ENSRNOG00000026953,Gpr88
ENSRNOG00000039331,Csn1s2a
ENSRNOG00000021712,Rcbtb1
ENSRNOG00000055947,7SK
ENSRNOG00000031993,Prim1
ENSRNOG00000052709,Gm23319
ENSRNOG00000000585,Amd1
ENSRNOG00000045929,LOC108348157
ENSRNOG00000059595,U6
ENSRNOG00000049518,AABR07033819.1
ENSRNOG00000014481,Adtrp
ENSRNOG00000018069,Ngdn
ENSRNOG00000045860,U2af1
ENSRNOG00000055090,U6
ENSRNOG00000043056,Fpr-rs4
ENSRNOG00000047849,Olr768
ENSRNOG00000056626,Gm25613
ENSRNOG00000053486,AC117925.2
ENSRNOG00000037399,LOC688842
ENSRNOG00000028826,AC128901.1
ENSRNOG00000052861,AABR07006544.1
ENSRNOG00000056354,7SK
ENSRNOG00000008960,Fgf22
ENSRNOG00000057154,7SK
ENSRNOG00000029884,Olr486
ENSRNOG00000054072,U6
ENSRNOG00000012347,Gata2
ENSRNOG00000025174,Kat6a
ENSRNOG00000017956,Golga7
ENSRNOG00000060900,7SK
ENSRNOG00000001052,Slc25a30
ENSRNOG00000015774,Mreg
ENSRNOG00000004222,S100g
ENSRNOG00000022354,Pusl1
ENSRNOG00000052485,AABR07030259.1
ENSRNOG00000015254,Olr3
ENSRNOG00000018475,Eif4enif1
ENSRNOG00000061066,U6
ENSRNOG00000047326,AABR07057443.1
ENSRNOG00000021198,Hist1h2bq
ENSRNOG00000012720,Irx4
ENSRNOG00000049869,LOC103694745
ENSRNOG00000003098,Prom1
ENSRNOG00000055924,AC109844.2
ENSRNOG00000038212,Socs6
ENSRNOG00000024623,RGD1309170
ENSRNOG00000057625,7SK
ENSRNOG00000046620,Olr1874
ENSRNOG00000014741,Kcnu1
ENSRNOG00000003403,Slc35f5
ENSRNOG00000023320,Tspan1
ENSRNOG00000024671,Dmxl1
ENSRNOG00000055800,U6
ENSRNOG00000032840,Sumo4
ENSRNOG00000015877,Figla
ENSRNOG00000019282,Ubqln1
ENSRNOG00000056263,AABR07061465.1
ENSRNOG00000011070,Gnb4
ENSRNOG00000056692,AABR07058930.1
ENSRNOG00000032078,AABR07047293.1
ENSRNOG00000061538,AABR07049892.1
ENSRNOG00000014019,Tbc1d7
ENSRNOG00000054385,Rhebl1
ENSRNOG00000051795,AC128610.1
ENSRNOG00000018651,Agtpbp1
ENSRNOG00000004273,Ifitm1
ENSRNOG00000039241,Ythdc2
ENSRNOG00000053081,LOC102548682
ENSRNOG00000018755,Acss2
ENSRNOG00000058571,AABR07024542.1
ENSRNOG00000032580,LOC100909879
ENSRNOG00000056754,AABR07054341.2
ENSRNOG00000010079,Ca3
ENSRNOG00000060391,AABR07027190.2
ENSRNOG00000047443,AABR07010840.1
ENSRNOG00000045965,N4bp3
ENSRNOG00000008135,Pla2g4f
ENSRNOG00000031915,Hdac10
ENSRNOG00000057054,LOC103690118
ENSRNOG00000039279,Nhlrc4
ENSRNOG00000058854,AABR07068657.1
ENSRNOG00000050158,LOC100911692
ENSRNOG00000055543,LOC102552798
ENSRNOG00000060325,Lefty2
ENSRNOG00000012163,Plekhm2
ENSRNOG00000009474,Ddx42
ENSRNOG00000058223,AABR07070704.1
ENSRNOG00000056897,RGD1559508
ENSRNOG00000012168,Fbxl21
ENSRNOG00000061101,Ripply1
ENSRNOG00000033024,AC099453.1
ENSRNOG00000001681,Vps26c
ENSRNOG00000053769,Soat2
ENSRNOG00000011624,Kcnq2
ENSRNOG00000012757,Nek3
ENSRNOG00000005062,AABR07051190.1
ENSRNOG00000038832,AABR07064415.1
ENSRNOG00000028274,Myrf
ENSRNOG00000025302,Cdca2
ENSRNOG00000038259,AABR07053749.1
ENSRNOG00000011784,Mocs1
ENSRNOG00000025937,Zfp26
ENSRNOG00000048250,Tmem159
